Month,Average size of army,Zymotic diseases,Wounds & injuries,All other causes,Zymotic diseases,Wounds & injuries,All other causes
abr.-54,8571,1,0,5,1.4,0,7
may.-54,23333,12,0,9,6.2,0,4.6
jun.-54,28333,11,0,6,4.7,0,2.5
jul.-54,28722,359,0,23,150,0,9.6
ago.-54,30246,828,1,30,328.5,0.4,11.9
sep.-54,30290,788,81,70,312.2,32.1,27.7
oct.-54,30643,503,132,128,197,51.7,50.1
nov.-54,29736,844,287,106,340.6,115.8,42.8
dic.-54,32779,1725,114,131,631.5,41.7,48
ene.-55,32393,2761,83,324,1022.8,30.7,120
feb.-55,30919,2120,42,361,822.8,16.3,140.1
mar.-55,30107,1205,32,172,480.3,12.8,68.6
abr.-55,32252,477,48,57,177.5,17.9,21.2
may.-55,35473,508,49,37,171.8,16.6,12.5
jun.-55,38863,802,209,31,247.6,64.5,9.6
jul.-55,42647,382,134,33,107.5,37.7,9.3
ago.-55,44614,483,164,25,129.9,44.1,6.7
sep.-55,47751,189,276,20,47.5,69.4,5
oct.-55,46852,128,53,18,32.8,13.6,4.6
nov.-55,37853,178,33,32,56.4,10.5,10.1
dic.-55,43217,91,18,28,25.3,5,7.8
ene.-56,44212,42,2,48,11.4,0.5,13
feb.-56,43485,24,0,19,6.6,0,5.2
mar.-56,46140,15,0,35,3.9,0,9.1
